,Released,Movie,Genre,Budget,Revenue,Trailer,Year
302,2009-12-31 00:00:00,Abandoned,Thriller/Suspense,,0.0,,2009
303,2013-08-15 00:00:00,Abandoned Mine,Thriller/Suspense,,0.0,,2013
304,2007-02-23 00:00:00,The Abandoned,Horror,,1255524.0,,2007
305,2002-05-03 00:00:00,ABC Africa,Documentary,,8886.0,,2002
306,2001-11-30 00:00:00,ABCD,Drama,,83372.0,,2001
307,2013-02-08 00:00:00,ABCD (Any Body Can Dance),Musical,,222098.0,,2013
308,2013-03-08 00:00:00,The ABCs of Death,Horror,,21832.0,,2013
309,2011-09-23 00:00:00,Abduction,Thriller/Suspense,35000000.0,28087155.0,Play,2011
310,2006-11-24 00:00:00,Abduction: The Megumi Yokota Story,Documentary,,26859.0,,2006
311,2010-12-31 00:00:00,Abel,Drama,,0.0,,2010
312,2013-01-23 00:00:00,Abel's Field,Drama,,0.0,,2013
313,2001-08-17 00:00:00,Aberdeen,Drama,,64148.0,,2001
314,2006-04-14 00:00:00,Abominable,Horror,,1810.0,,2006
315,2013-10-23 00:00:00,Abominable Christmas,Adventure,,0.0,,2013
316,2004-02-20 00:00:00,Abouna,Drama,,2350.0,,2004
317,2002-05-17 00:00:00,About a Boy,Romantic Comedy,27000000.0,40803000.0,,2002
318,2001-05-11 00:00:00,About Adam,Comedy,,151559.0,,2001
319,2012-09-21 00:00:00,About Cherry,Drama,,3003.0,,2012
320,2011-12-31 00:00:00,About Fifty,,,2500.0,,2011
321,1986-07-01 00:00:00,About Last Night...,Comedy,,38702310.0,,1986
322,2014-02-14 00:00:00,About Last Night,Romantic Comedy,13000000.0,48419430.0,Play,2014
323,2002-12-13 00:00:00,About Schmidt,Drama,30000000.0,65005217.0,,2002
324,2013-12-31 00:00:00,About Sunny,Drama,,0.0,,2013
325,2013-11-01 00:00:00,About Time,Romantic Comedy,12000000.0,15323921.0,Play,2013
326,1995-05-21 00:00:00,Above Suspicion,Drama,,0.0,,1995
327,1994-03-07 00:00:00,Above Suspicion (1939),Thriller/Suspense,,0.0,,1994
328,1988-04-08 00:00:00,Above the Law,Action,,18869631.0,,1988
329,1994-03-23 00:00:00,Above the Rim,Drama,,16026469.0,,1994
330,2012-11-13 00:00:00,Abraham Lincoln,Drama,,0.0,,2012
331,2012-06-22 00:00:00,Abraham Lincoln: Vampire Hunter,Horror,67500000.0,37519139.0,Play,2012
332,2012-12-31 00:00:00,Abraham Lincoln vs. Zombies,Horror,,0.0,,2012
333,2009-11-20 00:00:00,Los abrazos rotos,Thriller/Suspense,,5014305.0,,2009
334,2001-12-14 00:00:00,Abril Despedaçado,Drama,,64210.0,,2001
335,2013-07-05 00:00:00,Absence,Horror,,0.0,,2013
336,1981-11-19 00:00:00,Absence of Malice,Drama,,33312129.0,,1981
337,1961-03-16 00:00:00,The Absent Minded Professor,Comedy,,25381407.0,,1961
338,2011-01-07 00:00:00,The Absent,Thriller/Suspense,,0.0,,2011
339,2011-12-31 00:00:00,Absentia,Horror,,0.0,,2011
340,1986-04-18 00:00:00,Absolute Beginners,Musical,,930211.0,,1986
341,2013-12-31 00:00:00,Absolute Deception,Action,,0.0,,2013
342,1997-02-14 00:00:00,Absolute Power,Thriller/Suspense,50000000.0,50068310.0,,1997
343,2006-10-27 00:00:00,Absolute Wilson,Documentary,,66217.0,,2006
344,2009-02-06 00:00:00,Absurdistan,Comedy,,39683.0,,2009
345,1999-10-08 00:00:00,El Abuelo,Drama,,50037.0,,1999
346,1989-08-09 00:00:00,The Abyss,Action,70000000.0,54243125.0,,1989
347,1982-04-30 00:00:00,AC/DC: Let There Be Rock,Concert/Performance,,52590.0,,1982
348,2006-08-18 00:00:00,Accepted,Comedy,,36580083.0,,2006
